Date: 4/29/2025
Date/Time	Identifier	Cat amount	Weight loading	Bed length	HT1 sp	HT1 pv	HT2 sp	HT2 pv	HT3 sp	HT3 pv	Oven SP	Oven RMP	Oven PV	Oven OP%	MFC Ar sp	MFC Ar pv	MFC CO sp	MFC CO pv	MFC H2 sp	MFC H2 pv	MFC He sp	MFC He pv	MFC O2 sp	MFC O2 pv	MFC N2 sp	MFC N2 pv	MFC CO2 sp	MFC CO2 pv	MFM	MFC Call sp	MFC Call pv	Prepressure 1	Prepressure 2	Prepressure 3	Prepressure 4	Prepressure 5	Prepressure 6	Pressure R1	Pressure R2	BPC T-SP	BPC RMP	BPC A-SP	Valve 1	Valve 2	Valve 3	Valve 4	Valve 5	Valve 6	Valve 7	Valve 8	Valve 9	Valve 10
29-Apr-2025 00:00:08	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	64.00	3.00	2.97	10.00	9.94	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.97	0.00	0.00	37.37	0.00	0.26	30.64	31.53	28.95	23.42	-0.01	30.25	19.74	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:13	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	45.00	3.00	2.99	10.00	10.01	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.03	0.00	0.00	41.13	0.00	0.21	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:18	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.08	10.00	10.01	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	38.59	0.00	0.29	30.64	31.53	28.95	23.42	-0.02	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:23	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.06	10.00	10.04	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.95	0.00	0.00	41.28	0.00	0.22	30.64	31.53	28.95	23.42	-0.01	30.24	19.74	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:28	Co10TiO2	0.23	10		150.00	151.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.01	10.00	10.01	20.00	20.01	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	40.91	0.00	0.28	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:33	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	0.00	3.00	3.32	10.00	9.96	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.06	0.00	0.00	41.29	0.00	0.27	30.64	31.53	28.95	23.42	-0.01	30.24	19.74	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:38	Co10TiO2	0.23	10		150.00	153.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	10.00	3.00	2.98	10.00	10.00	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.03	0.00	0.00	42.05	0.00	0.26	30.64	31.53	28.95	23.42	-0.01	30.25	19.74	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:43	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	28.00	3.00	3.11	10.00	10.04	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.90	0.00	0.00	42.57	0.00	0.26	30.64	31.53	28.95	23.42	-0.01	30.24	19.74	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:48	Co10TiO2	0.23	10		150.00	150.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	49.00	3.00	3.03	10.00	10.04	20.00	20.00	0.00	0.00	0.00	0.00	7.00	6.99	0.00	0.00	41.15	0.00	0.31	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
29-Apr-2025 00:00:53	Co10TiO2	0.23	10		150.00	152.00	150.00	150.00	150.00	150.00	220.00	5.00	220.00	44.00	3.00	2.97	10.00	10.02	20.00	20.00	0.00	0.00	0.00	0.00	7.00	7.04	0.00	0.00	38.08	0.00	0.21	30.64	31.53	28.95	23.42	-0.01	30.24	19.75	20.49	22.00	1.00	22.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	1.00
